name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,selling_price_lakhs,engine_bin,mileage_bin,car_age,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded,engine_bin_encoded,mileage_bin_encoded
Maruti Swift Dzire VDI,2014,450000.0,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,4.5,1000-1500cc,20-25 kmpl,10,1,1,1,0,0,2
Skoda Rapid 1.5 TDI Ambition,2014,370000.0,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,3.7,1000-1500cc,20-25 kmpl,10,1,1,1,2,0,2
Honda City 2017-2020 EXi,2006,158000.0,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,1.58,1000-1500cc,15-20 kmpl,18,3,1,1,4,0,1
Hyundai i20 Sportz Diesel,2010,225000.0,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,2.25,1000-1500cc,20-25 kmpl,14,1,1,1,0,0,2
Maruti Swift VXI BSIII,2007,130000.0,120000.0,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,1.3,1000-1500cc,15-20 kmpl,17,3,1,1,0,0,1
Hyundai Xcent 1.2 VTVT E Plus,2017,440000.0,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,4.4,1000-1500cc,20-25 kmpl,7,3,1,1,0,0,2
Maruti Wagon R LXI DUO BSIII,2007,110000.0,155000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,1.1,1000-1500cc,15-20 kmpl,17,2,1,1,0,0,1
Maruti 800 DX BSII,2001,110000.0,11500.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,47.3,5.0,1.1,<1000cc,15-20 kmpl,23,3,1,1,2,4,1
Toyota Etios VXD,2011,350000.0,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,3.5,1000-1500cc,20-25 kmpl,13,1,1,1,0,0,2
Ford Figo Diesel Celebration Edition,2013,200000.0,155000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,2.0,1000-1500cc,15-20 kmpl,11,1,1,1,0,0,1
Renault Duster 110PS Diesel RxL,2014,500000.0,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,5.0,1000-1500cc,15-20 kmpl,10,1,1,1,2,0,1
Maruti Zen LX,2005,110000.0,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,1.1,<1000cc,15-20 kmpl,19,3,1,1,2,4,1
Maruti Swift Dzire VDi,2009,280000.0,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,2.8,1000-1500cc,15-20 kmpl,15,1,1,1,2,0,1
Maruti Wagon R LXI Minor,2009,180000.0,90000.0,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,1.8,1000-1500cc,15-20 kmpl,15,3,1,1,2,0,1
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000.0,40000.0,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,4.0,1000-1500cc,15-20 kmpl,8,3,1,1,0,0,1
Maruti Ertiga SHVS VDI,2016,778000.0,70000.0,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,7.78,1000-1500cc,20-25 kmpl,8,1,1,1,2,0,2
Hyundai i20 1.4 CRDi Asta,2012,500000.0,53000.0,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,5.0,1000-1500cc,20-25 kmpl,12,1,1,1,2,0,2
Maruti Alto LX,2002,150000.0,80000.0,Petrol,Individual,Manual,Second Owner,19.7,796.0,47.3,5.0,1.5,<1000cc,15-20 kmpl,22,3,1,1,2,4,1
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000.0,100000.0,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,6.8,1000-1500cc,20-25 kmpl,8,1,1,1,0,0,2
Mahindra Verito 1.5 D4 BSIII,2011,174000.0,100000.0,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,1.74,1000-1500cc,20-25 kmpl,13,1,1,1,2,0,2
Honda WR-V i-DTEC VX,2017,950000.0,50000.0,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,9.5,1000-1500cc,25-30 kmpl,7,1,1,1,0,0,3
Maruti Swift Dzire ZDI,2015,525000.0,40000.0,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,5.25,1000-1500cc,25-30 kmpl,9,1,1,1,0,0,3
Maruti SX4 ZDI,2012,600000.0,72000.0,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,6.0,1000-1500cc,20-25 kmpl,12,1,1,1,0,0,2
Tata Tigor 2017-2020 XZ,2018,500000.0,35000.0,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,5.0,1000-1500cc,20-25 kmpl,6,3,1,1,0,0,2
Maruti Baleno Delta 1.2,2016,575000.0,45000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,5.75,1000-1500cc,20-25 kmpl,8,3,1,1,0,0,2
Maruti Alto 800 LXI,2017,275000.0,28000.0,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,2.75,<1000cc,20-25 kmpl,7,3,1,1,0,4,2
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000.0,70000.0,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,3.0,1000-1500cc,15-20 kmpl,11,1,1,1,0,0,1
Maruti Wagon R LXI Minor,2009,220000.0,120000.0,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,2.2,1000-1500cc,15-20 kmpl,15,3,1,1,0,0,1
Maruti Omni E MPI STD BS IV,2018,254999.0,25000.0,Petrol,Individual,Manual,First Owner,16.8,796.0,47.3,7.0,2.54999,<1000cc,15-20 kmpl,6,3,1,1,0,4,1
Maruti Vitara Brezza LDi Option,2017,670000.0,70000.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,6.7,1000-1500cc,20-25 kmpl,7,1,1,1,0,0,2
Maruti Omni 8 Seater BSIV,2012,150000.0,35000.0,Petrol,Individual,Manual,Second Owner,14.0,796.0,47.3,5.0,1.5,<1000cc,10-15 kmpl,12,3,1,1,2,4,0
Hyundai i20 1.2 Asta Dual Tone,2018,730000.0,11500.0,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,7.3,1000-1500cc,15-20 kmpl,6,3,1,1,0,0,1
Maruti Vitara Brezza LDi,2017,650000.0,16200.0,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,6.5,1000-1500cc,20-25 kmpl,7,1,1,1,0,0,2
Maruti Alto 800 CNG LXI Optional,2019,330000.0,11500.0,CNG,Individual,Manual,Second Owner,33.44,796.0,47.3,5.0,3.3,<1000cc,>30 kmpl,5,0,1,1,2,4,5
Maruti Alto K10 VXI Airbag,2019,366000.0,15000.0,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,3.66,<1000cc,20-25 kmpl,5,3,1,1,0,4,2
Hyundai Verna VTVT 1.6 SX Option,2019,1149000.0,11500.0,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,11.49,1500-2000cc,15-20 kmpl,5,3,1,1,0,1,1
Datsun GO D,2016,150000.0,42000.0,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,1.5,1000-1500cc,20-25 kmpl,8,3,1,1,0,0,2
Tata Safari DICOR 2.2 LX 4x2,2011,425000.0,60000.0,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,4.25,2000-2500cc,10-15 kmpl,13,1,1,1,2,2,0
Maruti 800 Std,2012,150000.0,76000.0,Petrol,Individual,Manual,First Owner,16.1,796.0,47.3,5.0,1.5,<1000cc,15-20 kmpl,12,3,1,1,0,4,1
Jeep Compass 1.4 Limited Plus BSIV,2019,1200000.0,11500.0,Petrol,Individual,Automatic,First Owner,16.0,1368.0,147.9,5.0,12.0,1000-1500cc,15-20 kmpl,5,3,1,0,0,0,1
Honda City i VTEC VX,2018,925000.0,28900.0,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,9.25,1000-1500cc,15-20 kmpl,6,3,0,1,0,0,1
Honda City V MT,2013,425000.0,86300.0,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,4.25,1000-1500cc,15-20 kmpl,11,3,0,1,0,0,1
Maruti Swift Dzire VXi AT,2018,675000.0,23300.0,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,6.75,1000-1500cc,15-20 kmpl,6,3,0,0,0,0,1
Maruti Vitara Brezza VDi,2018,819999.0,32600.0,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,8.19999,1000-1500cc,20-25 kmpl,6,1,0,1,0,0,2
Maruti Alto K10 VXI,2018,390000.0,11500.0,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,3.9,<1000cc,20-25 kmpl,6,3,0,1,0,4,2
Toyota Fortuner 4x4 MT,2014,1200000.0,77000.0,Diesel,Dealer,Manual,First Owner,12.55,2982.0,147.9,7.0,12.0,2500-3000cc,10-15 kmpl,10,1,0,1,0,3,0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000.0,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,7.0,2000-2500cc,10-15 kmpl,11,1,0,1,0,2,0
Mercedes-Benz B Class B180,2014,1200000.0,27800.0,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,12.0,2000-2500cc,10-15 kmpl,10,1,0,0,2,2,0
Honda Amaze S Diesel,2015,425000.0,49800.0,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,4.25,1000-1500cc,20-25 kmpl,9,1,0,1,0,0,2
Mitsubishi Pajero Sport 4X4,2013,1090000.0,151000.0,Diesel,Dealer,Manual,First Owner,13.5,2477.0,147.9,7.0,10.9,2000-2500cc,10-15 kmpl,11,1,0,1,0,2,0
Honda City i DTEC S,2015,600000.0,54700.0,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,6.0,1000-1500cc,25-30 kmpl,9,1,0,1,0,0,3
Maruti Ciaz Zeta,2018,850000.0,64000.0,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,8.5,1000-1500cc,20-25 kmpl,6,3,0,1,0,0,2
Honda Jazz VX Diesel,2015,525000.0,63000.0,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,5.25,1000-1500cc,25-30 kmpl,9,1,0,1,0,0,3
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1200000.0,127700.0,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,147.9,7.0,12.0,2500-3000cc,10-15 kmpl,8,1,0,0,2,3,0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000.0,99000.0,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,9.5,2000-2500cc,10-15 kmpl,8,1,0,1,0,2,0
Audi A6 2.0 TDI Technology,2013,1200000.0,33900.0,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,147.9,5.0,12.0,1500-2000cc,15-20 kmpl,11,1,0,0,2,1,1
Toyota Corolla Altis 1.8 VL CVT,2018,1200000.0,25000.0,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,12.0,1500-2000cc,10-15 kmpl,6,3,0,0,0,1,0
Audi A6 2.0 TDI  Design Edition,2013,1200000.0,50000.0,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,147.9,5.0,12.0,1500-2000cc,15-20 kmpl,11,1,0,0,0,1,1
Mercedes-Benz New C-Class 220 CDI AT,2013,1200000.0,59000.0,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,147.9,5.0,12.0,2000-2500cc,10-15 kmpl,11,1,0,0,0,2,0
Tata Manza ELAN Quadrajet BS IV,2011,265000.0,120000.0,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,2.65,1000-1500cc,20-25 kmpl,13,1,1,1,0,0,2
Hyundai i10 Magna,2011,190000.0,110000.0,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,1.9,1000-1500cc,20-25 kmpl,13,3,1,1,4,0,2
Hyundai i20 Asta 1.4 CRDi,2013,425000.0,60000.0,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,4.25,1000-1500cc,20-25 kmpl,11,1,1,1,0,0,2
Maruti Swift Dzire ZDI,2015,630000.0,147000.0,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,6.3,1000-1500cc,25-30 kmpl,9,1,1,1,2,0,3
Ford Figo 1.2P Titanium MT,2017,600000.0,25000.0,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,6.0,1000-1500cc,15-20 kmpl,7,3,1,1,4,0,1
Maruti Baleno Delta 1.2,2019,650000.0,30000.0,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,6.5,1000-1500cc,20-25 kmpl,5,3,1,1,0,0,2
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000.0,40000.0,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,5.4,1000-1500cc,20-25 kmpl,8,1,1,1,0,0,2
Honda City i DTEC VX,2015,630000.0,135000.0,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,6.3,1000-1500cc,25-30 kmpl,9,1,1,1,0,0,3
Maruti Wagon R AMT VXI,2018,448000.0,30000.0,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,4.48,<1000cc,20-25 kmpl,6,3,1,0,0,4,2
